account_id,signup_date,utm_source,utm_campaign,ref,account_type
ACC1061,2025/08/01,LinkedIn,Campaign_A,,agency
ACC1062,2025-07-10,Referral,Campaign_C,worker,Normal
ACC1063,2025-06-20,,Campaign_A,,AGENCY
ACC1064,2025/08/01,LinkedIn,Campaign_B,become,agency
ACC1065,2025-08-20,LinkedIn,Campaign_C,,agency
ACC1066,2025/08/01,Google Ads,Campaing_B,total,AGENCY
ACC1067,07/15/2025,Referral,Campaign_C,seat,agency
ACC1068,2025-06-03,Organic,Campaign_C,,normal
ACC1069,07/15/2025,Referral,Campaing_B,,Normal
ACC1070,2025-08-25,Referral,Campaign_B,,Normal
ACC1071,2025/08/01,Organic,Campaign_C,,Normal
ACC1072,2025/08/01,Google Ads,Campaing_B,,agency
ACC1073,2025/08/01,Organic,Campaign_A,,agency
ACC1074,2025-07-04,,Campaign_C,,Normal
ACC1075,2025-07-31,,Campaign_C,,Normal
ACC1076,07/15/2025,Organic,Campaign_C,,agency
ACC1077,2025/08/01,Organic,Campaign_B,,Normal
ACC1078,2025-07-07,Referral,Campaign_C,her,AGENCY
ACC1079,2025/08/01,,Campaign_C,,AGENCY
ACC1080,2025-07-11,Googel Ads,Campaing_B,,agency
ACC1081,07/15/2025,Googel Ads,Campaign_C,stop,agency
ACC1082,2025-08-01,LinkedIn,Campaign_B,piece,normal
ACC1083,07/15/2025,Googel Ads,Campaign_A,,AGENCY
ACC1084,2025/08/01,LinkedIn,Campaing_B,,AGENCY
ACC1085,2025/08/01,,Campaign_A,her,AGENCY
ACC1086,2025/08/01,Googel Ads,Campaing_B,particular,agency
ACC1087,2025-08-23,Organic,Campaign_B,,Normal
ACC1088,07/15/2025,Googel Ads,Campaing_B,,AGENCY
ACC1089,2025/08/01,Organic,Campaing_B,,agency
ACC1090,07/15/2025,Googel Ads,Campaing_B,,agency
ACC1091,2025-06-25,,Campaign_C,relate,Normal
ACC1092,2025/08/01,Google Ads,Campaign_B,training,agency
ACC1093,2025-07-05,,Campaign_B,miss,AGENCY
ACC1094,2025/08/01,Organic,Campaing_B,true,agency
ACC1095,07/15/2025,Googel Ads,Campaign_A,,AGENCY
ACC1096,07/15/2025,Referral,Campaing_B,,agency
ACC1097,07/15/2025,Organic,Campaing_B,science,AGENCY
ACC1098,2025/08/01,Organic,Campaign_B,,agency
ACC1099,2025/08/01,Google Ads,Campaing_B,,normal
ACC1100,07/15/2025,LinkedIn,Campaing_B,benefit,normal
ACC1101,07/15/2025,LinkedIn,Campaing_B,,Normal
ACC1102,07/15/2025,Referral,Campaing_B,,normal
ACC1103,2025/08/01,Googel Ads,Campaign_A,,agency
ACC1104,2025/08/01,Google Ads,Campaign_A,point,agency
ACC1105,2025/08/01,LinkedIn,Campaign_B,eat,AGENCY
ACC1106,2025/08/01,LinkedIn,Campaing_B,,Normal
ACC1107,2025-08-09,Googel Ads,Campaign_A,him,Normal
ACC1108,2025-06-10,Referral,Campaing_B,,agency
ACC1109,2025/08/01,,Campaign_B,law,Normal
ACC1110,2025/08/01,Google Ads,Campaign_A,,AGENCY
ACC1111,2025-07-31,Googel Ads,Campaign_C,customer,AGENCY
ACC1112,2025-08-14,Organic,Campaign_C,,AGENCY
ACC1113,07/15/2025,LinkedIn,Campaign_C,,AGENCY
ACC1114,2025/08/01,Googel Ads,Campaign_C,,agency
ACC1115,2025-08-15,Referral,Campaing_B,time,AGENCY
ACC1116,2025/08/01,Organic,Campaign_C,fish,AGENCY
ACC1117,2025-08-17,Organic,Campaign_B,,Normal
ACC1118,2025/08/01,,Campaign_C,,normal
ACC1119,2025-07-18,Google Ads,Campaign_B,,AGENCY
ACC1120,2025-07-15,,Campaing_B,,AGENCY
ACC1121,2025-07-11,Google Ads,Campaign_C,box,AGENCY
ACC1122,07/15/2025,,Campaign_C,,Normal
ACC1123,2025/08/01,Googel Ads,Campaign_C,,AGENCY
ACC1124,07/15/2025,LinkedIn,Campaign_A,,agency
ACC1125,2025/08/01,Googel Ads,Campaign_B,yeah,agency
ACC1126,07/15/2025,,Campaign_C,sport,agency
ACC1127,07/15/2025,LinkedIn,Campaign_C,treatment,agency
ACC1128,2025-06-25,Googel Ads,Campaign_C,,agency
ACC1129,07/15/2025,Google Ads,Campaign_A,,Normal
ACC1130,07/15/2025,Referral,Campaign_B,fund,Normal
ACC1131,07/15/2025,Google Ads,Campaign_A,,AGENCY
ACC1132,2025/08/01,,Campaign_A,prevent,agency
ACC1133,07/15/2025,Google Ads,Campaign_B,fine,AGENCY
ACC1134,2025/08/01,LinkedIn,Campaing_B,,AGENCY
ACC1135,2025/08/01,Organic,Campaign_C,,normal
ACC1136,2025/08/01,Google Ads,Campaign_B,,agency
ACC1137,2025-06-25,LinkedIn,Campaign_B,agree,normal
ACC1138,07/15/2025,Organic,Campaing_B,,normal
ACC1139,2025/08/01,Referral,Campaing_B,leg,agency
ACC1140,2025/08/01,Googel Ads,Campaign_B,,normal
ACC1141,2025/08/01,LinkedIn,Campaign_C,once,normal
ACC1142,07/15/2025,Googel Ads,Campaign_C,,normal
ACC1143,07/15/2025,,Campaing_B,,AGENCY
ACC1144,2025/08/01,Google Ads,Campaing_B,,Normal
ACC1145,2025-07-25,Google Ads,Campaign_B,,normal
ACC1146,2025/08/01,Referral,Campaign_A,determine,AGENCY
ACC1147,07/15/2025,Referral,Campaign_B,,AGENCY
ACC1148,07/15/2025,Google Ads,Campaing_B,,AGENCY
ACC1149,2025/08/01,Google Ads,Campaign_B,,AGENCY
ACC1150,07/15/2025,,Campaing_B,,normal
ACC1151,07/15/2025,Referral,Campaign_C,talk,AGENCY
ACC1152,2025-08-18,,Campaing_B,,normal
ACC1153,07/15/2025,Googel Ads,Campaing_B,,AGENCY
ACC1154,2025-08-09,Referral,Campaign_B,,AGENCY
ACC1155,07/15/2025,Google Ads,Campaign_A,,agency
ACC1156,07/15/2025,Googel Ads,Campaign_A,,AGENCY
ACC1157,2025-06-09,Organic,Campaign_A,,agency
ACC1158,2025/08/01,Referral,Campaign_C,,AGENCY
ACC1159,2025-08-29,Organic,Campaign_B,,agency
ACC1160,2025/08/01,,Campaign_B,leg,Normal
ACC1161,07/15/2025,Referral,Campaign_C,face,Normal
ACC1162,2025/08/01,Googel Ads,Campaing_B,upon,AGENCY
ACC1163,07/15/2025,Referral,Campaing_B,,Normal
ACC1164,2025/08/01,LinkedIn,Campaing_B,generation,AGENCY
ACC1165,2025/08/01,Organic,Campaing_B,,agency
ACC1166,2025-07-16,LinkedIn,Campaign_C,voice,AGENCY
ACC1167,07/15/2025,Google Ads,Campaign_B,,agency
ACC1168,07/15/2025,Referral,Campaing_B,,normal
ACC1169,2025/08/01,Googel Ads,Campaing_B,,AGENCY
ACC1170,2025-08-19,Googel Ads,Campaign_A,when,Normal
ACC1171,2025/08/01,Google Ads,Campaing_B,herself,normal
ACC1172,2025/08/01,Referral,Campaign_A,beautiful,Normal
ACC1173,07/15/2025,Referral,Campaign_C,,agency
ACC1174,07/15/2025,Googel Ads,Campaign_B,capital,agency
ACC1175,07/15/2025,Googel Ads,Campaign_B,,agency
ACC1176,2025/08/01,Referral,Campaing_B,,normal
ACC1177,07/15/2025,Referral,Campaign_B,room,AGENCY
ACC1178,2025/08/01,Referral,Campaing_B,,Normal
ACC1179,07/15/2025,LinkedIn,Campaing_B,,normal
ACC1180,2025/08/01,Referral,Campaign_C,,Normal
ACC1181,2025/08/01,Organic,Campaign_C,agent,normal
ACC1182,2025/08/01,Organic,Campaign_C,arm,Normal
ACC1183,2025-06-20,Googel Ads,Campaign_C,,agency
ACC1184,2025/08/01,,Campaign_A,,AGENCY
ACC1185,07/15/2025,,Campaign_B,owner,Normal
ACC1186,07/15/2025,LinkedIn,Campaign_B,score,Normal
ACC1187,07/15/2025,LinkedIn,Campaign_C,,Normal
ACC1188,07/15/2025,Google Ads,Campaing_B,know,agency
ACC1189,2025-08-08,,Campaing_B,,Normal
ACC1190,07/15/2025,Google Ads,Campaign_C,,normal
ACC1191,2025/08/01,,Campaign_C,,AGENCY
ACC1192,07/15/2025,Google Ads,Campaign_B,,normal
ACC1193,2025/08/01,Referral,Campaign_B,,normal
ACC1194,07/15/2025,,Campaign_C,,AGENCY
ACC1195,2025-06-11,Google Ads,Campaign_C,,normal
ACC1196,2025/08/01,LinkedIn,Campaing_B,,Normal
ACC1197,2025/08/01,,Campaing_B,,agency
ACC1198,2025/08/01,Google Ads,Campaing_B,,AGENCY
ACC1199,07/15/2025,Google Ads,Campaign_C,blood,AGENCY
ACC1200,2025-07-11,Referral,Campaign_A,,Normal
ACC1201,2025/08/01,Referral,Campaign_A,,Normal
ACC1202,2025-06-18,Organic,Campaign_A,,agency
ACC1203,2025/08/01,Google Ads,Campaign_A,,agency
ACC1204,2025/08/01,LinkedIn,Campaign_A,,agency
ACC1205,2025-07-24,Referral,Campaign_B,,normal
ACC1206,2025-06-26,LinkedIn,Campaign_C,Mrs,normal
ACC1207,2025-07-31,LinkedIn,Campaign_A,,agency
ACC1208,2025-07-24,LinkedIn,Campaign_C,clear,agency
ACC1209,2025/08/01,Google Ads,Campaign_A,,AGENCY
ACC1210,2025/08/01,Googel Ads,Campaign_A,,agency
ACC1211,2025-08-26,,Campaign_C,,normal
ACC1212,07/15/2025,Organic,Campaing_B,,normal
ACC1213,07/15/2025,Google Ads,Campaign_A,,agency
ACC1214,07/15/2025,Googel Ads,Campaign_C,,Normal
ACC1215,2025/08/01,Organic,Campaign_A,,normal
ACC1216,2025/08/01,Googel Ads,Campaign_B,,AGENCY
ACC1217,07/15/2025,Referral,Campaing_B,,AGENCY
ACC1218,07/15/2025,Organic,Campaign_C,,Normal
ACC1219,2025-07-05,,Campaing_B,common,normal
ACC1220,2025-08-15,Organic,Campaign_A,,Normal
ACC1221,2025/08/01,Google Ads,Campaign_C,,normal
ACC1222,2025/08/01,Organic,Campaign_A,,Normal
ACC1223,2025/08/01,Googel Ads,Campaign_B,specific,AGENCY
ACC1224,2025-06-21,Referral,Campaign_C,animal,Normal
ACC1225,07/15/2025,Googel Ads,Campaign_A,,Normal
ACC1226,07/15/2025,,Campaign_C,,Normal
ACC1227,2025-06-01,Googel Ads,Campaing_B,respond,agency
ACC1228,2025-08-07,Google Ads,Campaign_B,,AGENCY
ACC1229,2025-07-12,Referral,Campaign_C,,Normal
ACC1230,2025/08/01,Googel Ads,Campaign_A,coach,agency
ACC1231,2025/08/01,Google Ads,Campaign_A,,AGENCY
ACC1232,07/15/2025,Googel Ads,Campaing_B,,Normal
ACC1233,2025/08/01,Google Ads,Campaign_C,,normal
ACC1234,2025/08/01,Googel Ads,Campaing_B,,Normal
ACC1235,07/15/2025,Googel Ads,Campaign_A,whose,agency
ACC1236,2025-06-28,LinkedIn,Campaign_C,,Normal
ACC1237,07/15/2025,,Campaing_B,your,agency
ACC1238,2025/08/01,LinkedIn,Campaign_C,involve,AGENCY
ACC1239,2025-08-18,Organic,Campaign_A,,normal
ACC1240,2025/08/01,Organic,Campaing_B,,AGENCY
ACC1241,07/15/2025,Google Ads,Campaign_C,keep,AGENCY
ACC1242,07/15/2025,Google Ads,Campaing_B,wife,agency
ACC1243,07/15/2025,Googel Ads,Campaign_A,,Normal
ACC1244,2025-08-07,Referral,Campaign_B,her,normal
ACC1245,2025-07-19,Referral,Campaign_C,,agency
ACC1246,2025-06-22,Referral,Campaign_B,staff,agency
ACC1247,2025/08/01,Google Ads,Campaign_B,,AGENCY
ACC1248,2025/08/01,Googel Ads,Campaing_B,,Normal
ACC1249,2025/08/01,Referral,Campaign_B,,normal
ACC1250,2025/08/01,Referral,Campaign_C,,normal
ACC1251,2025-07-03,Referral,Campaing_B,,normal
ACC1252,07/15/2025,Google Ads,Campaign_A,,AGENCY
ACC1253,2025/08/01,,Campaign_A,,agency
ACC1254,07/15/2025,Googel Ads,Campaign_B,eat,AGENCY
ACC1255,07/15/2025,,Campaign_A,,agency
ACC1256,2025/08/01,Organic,Campaing_B,,agency
ACC1257,07/15/2025,Organic,Campaing_B,,normal
ACC1258,2025/08/01,Referral,Campaign_A,,normal
ACC1259,07/15/2025,Referral,Campaign_C,,agency
ACC1260,2025/08/01,,Campaign_B,,Normal
ACC1261,2025/08/01,,Campaing_B,you,normal
ACC1262,07/15/2025,,Campaign_C,visit,normal
ACC1263,07/15/2025,Googel Ads,Campaign_C,cultural,Normal
ACC1264,2025-06-29,Referral,Campaing_B,finish,agency
ACC1265,2025-08-30,Google Ads,Campaign_C,tree,normal
ACC1266,2025/08/01,LinkedIn,Campaing_B,board,agency
ACC1267,2025/08/01,Googel Ads,Campaign_B,,AGENCY
ACC1268,07/15/2025,,Campaign_B,,Normal
ACC1269,07/15/2025,LinkedIn,Campaign_B,,AGENCY
ACC1270,2025-08-22,Referral,Campaing_B,,Normal
ACC1271,2025/08/01,Googel Ads,Campaing_B,response,agency
ACC1272,2025-08-12,Referral,Campaign_A,,AGENCY
ACC1273,2025/08/01,Google Ads,Campaign_A,,normal
ACC1274,07/15/2025,Organic,Campaign_B,,normal
ACC1275,2025-08-26,Organic,Campaign_C,evidence,AGENCY
ACC1276,2025/08/01,Referral,Campaign_B,,normal
ACC1277,2025-07-05,Referral,Campaign_A,,Normal
ACC1278,2025-08-12,Google Ads,Campaign_C,,agency
ACC1279,07/15/2025,Organic,Campaign_A,else,normal
ACC1280,2025-06-24,Googel Ads,Campaing_B,development,Normal
ACC1281,2025-06-22,Google Ads,Campaign_B,,AGENCY
ACC1282,07/15/2025,Googel Ads,Campaign_A,,agency
ACC1283,07/15/2025,Organic,Campaign_A,,Normal
ACC1284,07/15/2025,LinkedIn,Campaign_A,,Normal
ACC1285,2025/08/01,Googel Ads,Campaign_A,,AGENCY
ACC1286,07/15/2025,Referral,Campaign_C,,normal
ACC1287,2025-07-03,Referral,Campaign_B,,normal
ACC1288,2025/08/01,Referral,Campaign_B,machine,Normal
ACC1289,2025/08/01,LinkedIn,Campaing_B,,AGENCY
ACC1290,2025-07-28,Google Ads,Campaing_B,race,Normal
ACC1291,2025-06-19,Google Ads,Campaign_C,,AGENCY
ACC1292,2025/08/01,Organic,Campaign_C,wife,agency
ACC1293,2025-06-27,,Campaign_C,,normal
ACC1294,07/15/2025,Organic,Campaing_B,,Normal
ACC1295,07/15/2025,,Campaing_B,,Normal
ACC1296,2025/08/01,Organic,Campaign_A,,agency
ACC1297,07/15/2025,Google Ads,Campaign_A,,Normal
ACC1298,2025/08/01,,Campaing_B,situation,AGENCY
ACC1299,2025-07-02,,Campaign_C,,AGENCY
ACC1300,2025-06-25,Google Ads,Campaing_B,,agency
ACC1301,2025-08-26,Googel Ads,Campaing_B,mission,agency
ACC1302,2025/08/01,Referral,Campaign_C,,normal
ACC1303,2025/08/01,Organic,Campaign_C,,AGENCY
ACC1304,2025/08/01,LinkedIn,Campaign_C,,Normal
ACC1305,2025-07-30,Google Ads,Campaign_A,,agency
ACC1306,07/15/2025,Googel Ads,Campaign_A,,Normal
ACC1307,2025-08-04,Googel Ads,Campaign_C,,AGENCY
ACC1308,2025-06-19,Google Ads,Campaing_B,east,AGENCY
ACC1309,2025/08/01,Referral,Campaign_C,,normal
ACC1310,07/15/2025,Referral,Campaign_B,,agency
ACC1311,2025/08/01,LinkedIn,Campaign_A,worker,agency
ACC1312,07/15/2025,Google Ads,Campaign_C,,Normal
ACC1313,2025/08/01,LinkedIn,Campaign_A,sit,Normal
ACC1314,2025/08/01,,Campaing_B,,AGENCY
ACC1315,2025/08/01,Google Ads,Campaign_B,,normal
ACC1316,2025/08/01,Googel Ads,Campaign_C,system,agency
ACC1317,2025-08-09,Organic,Campaign_A,subject,agency
ACC1318,2025-06-28,Referral,Campaign_B,,Normal
ACC1319,07/15/2025,LinkedIn,Campaign_C,beyond,Normal
ACC1320,2025-07-26,Googel Ads,Campaign_B,,agency
ACC1321,2025/08/01,,Campaign_C,,normal
ACC1322,2025-08-15,Google Ads,Campaign_A,,Normal
ACC1323,2025/08/01,Organic,Campaign_A,,Normal
ACC1324,07/15/2025,Organic,Campaign_B,,AGENCY
ACC1325,2025-06-28,,Campaign_A,popular,AGENCY
ACC1326,07/15/2025,LinkedIn,Campaign_C,,agency
ACC1327,2025/08/01,Referral,Campaign_C,,agency
ACC1328,2025/08/01,Googel Ads,Campaign_A,,agency
ACC1329,07/15/2025,Organic,Campaign_B,short,normal
ACC1330,07/15/2025,Googel Ads,Campaing_B,yes,agency
ACC1331,2025/08/01,,Campaign_C,finish,agency
ACC1332,2025/08/01,Organic,Campaing_B,,AGENCY
ACC1333,07/15/2025,Googel Ads,Campaing_B,shoulder,agency
ACC1334,2025-07-24,Google Ads,Campaign_C,,AGENCY
ACC1335,2025-06-27,Google Ads,Campaing_B,pull,Normal
ACC1336,07/15/2025,Referral,Campaign_A,,normal
ACC1337,2025-07-22,Referral,Campaign_C,her,AGENCY
ACC1338,2025/08/01,Referral,Campaign_A,head,normal
ACC1339,07/15/2025,Googel Ads,Campaign_C,continue,agency
ACC1340,07/15/2025,Googel Ads,Campaign_A,need,normal
ACC1341,07/15/2025,Organic,Campaing_B,us,agency
ACC1342,2025/08/01,Referral,Campaign_B,,Normal
ACC1343,2025/08/01,Googel Ads,Campaing_B,,Normal
ACC1344,2025-07-14,Referral,Campaign_C,,normal
ACC1345,2025/08/01,Referral,Campaign_A,,AGENCY
ACC1346,2025/08/01,Googel Ads,Campaign_B,,normal
ACC1347,2025-07-24,Googel Ads,Campaing_B,single,agency
ACC1348,2025/08/01,Google Ads,Campaign_B,to,AGENCY
ACC1349,2025-06-29,Organic,Campaign_B,,AGENCY
ACC1350,2025/08/01,,Campaign_A,,agency
ACC1351,2025/08/01,Referral,Campaing_B,,AGENCY
ACC1352,2025-06-29,Organic,Campaign_C,,Normal
ACC1353,2025/08/01,,Campaign_C,,AGENCY
ACC1354,2025-06-18,Referral,Campaign_C,serve,Normal
ACC1355,2025/08/01,LinkedIn,Campaing_B,,AGENCY
ACC1356,2025/08/01,Referral,Campaign_C,professional,AGENCY
ACC1357,07/15/2025,Referral,Campaign_B,,normal
ACC1358,2025/08/01,Google Ads,Campaign_C,,Normal
ACC1359,2025-08-08,LinkedIn,Campaign_C,,Normal
ACC1360,2025/08/01,,Campaign_B,success,normal
ACC1361,2025/08/01,LinkedIn,Campaign_B,Republican,normal
ACC1362,2025/08/01,Organic,Campaign_A,,agency
ACC1363,2025/08/01,LinkedIn,Campaing_B,,AGENCY
ACC1364,2025-07-14,Referral,Campaign_C,,normal
ACC1365,2025-08-22,,Campaign_B,,normal
ACC1366,2025-08-23,Organic,Campaign_B,cost,AGENCY
ACC1367,2025-08-11,,Campaign_C,country,normal
ACC1368,2025/08/01,Google Ads,Campaign_C,,AGENCY
ACC1369,2025/08/01,Googel Ads,Campaing_B,turn,AGENCY
ACC1370,2025-06-25,Referral,Campaign_B,,AGENCY
ACC1371,2025/08/01,LinkedIn,Campaign_A,,Normal
ACC1372,2025/08/01,,Campaign_B,popular,AGENCY
ACC1373,2025/08/01,Referral,Campaign_A,,normal
ACC1374,2025-06-17,Organic,Campaign_C,shoulder,normal
ACC1375,2025-06-24,Organic,Campaign_C,,Normal
ACC1376,2025/08/01,Google Ads,Campaign_C,,Normal
ACC1377,2025-08-03,,Campaign_A,,Normal
ACC1378,2025/08/01,Googel Ads,Campaign_C,,normal
ACC1379,07/15/2025,Referral,Campaign_B,capital,agency
ACC1380,07/15/2025,,Campaign_C,,AGENCY
ACC1381,2025/08/01,LinkedIn,Campaign_B,,normal
ACC1382,2025/08/01,,Campaign_C,cup,normal
ACC1383,2025/08/01,Googel Ads,Campaign_B,,agency
ACC1384,2025/08/01,Organic,Campaign_A,,agency
ACC1385,07/15/2025,Google Ads,Campaing_B,sure,AGENCY
ACC1386,07/15/2025,Organic,Campaign_A,,AGENCY
ACC1387,07/15/2025,,Campaign_A,,Normal
ACC1388,2025/08/01,LinkedIn,Campaign_A,artist,AGENCY
ACC1389,2025-07-02,Googel Ads,Campaign_A,laugh,AGENCY
ACC1390,07/15/2025,LinkedIn,Campaign_B,,AGENCY
ACC1391,07/15/2025,Organic,Campaing_B,,normal
ACC1392,2025/08/01,Googel Ads,Campaign_B,,Normal
ACC1393,2025/08/01,Organic,Campaign_B,,agency
ACC1394,2025-08-15,Referral,Campaing_B,,AGENCY
ACC1395,2025-07-19,LinkedIn,Campaing_B,,agency
ACC1396,2025/08/01,Google Ads,Campaign_A,,AGENCY
ACC1397,2025-07-26,LinkedIn,Campaign_B,our,normal
ACC1398,07/15/2025,Googel Ads,Campaign_A,loss,normal
ACC1399,2025-07-07,Googel Ads,Campaign_B,way,agency
ACC1400,07/15/2025,LinkedIn,Campaign_C,,Normal
ACC1401,2025-06-22,,Campaign_B,,Normal
ACC1402,2025/08/01,Googel Ads,Campaign_B,,AGENCY
ACC1403,2025-07-21,Referral,Campaing_B,,Normal
ACC1404,07/15/2025,LinkedIn,Campaign_C,,agency
ACC1405,07/15/2025,LinkedIn,Campaign_B,,agency
ACC1406,2025-08-13,Googel Ads,Campaing_B,,agency
ACC1407,07/15/2025,LinkedIn,Campaign_C,,normal
ACC1408,07/15/2025,Google Ads,Campaign_B,poor,Normal
ACC1409,2025/08/01,Googel Ads,Campaign_A,everyone,agency
ACC1410,2025/08/01,,Campaign_B,,agency
ACC1411,07/15/2025,Referral,Campaign_A,factor,agency
ACC1412,2025-08-27,,Campaing_B,this,agency
ACC1413,2025-07-07,Googel Ads,Campaign_C,,AGENCY
ACC1414,2025/08/01,Referral,Campaign_C,,Normal
ACC1415,07/15/2025,Organic,Campaign_A,,AGENCY
ACC1416,07/15/2025,LinkedIn,Campaign_C,,AGENCY
ACC1417,2025-06-05,,Campaign_B,mean,Normal
ACC1418,2025/08/01,Googel Ads,Campaing_B,,agency
ACC1419,2025-06-18,Organic,Campaign_B,,Normal
ACC1420,07/15/2025,,Campaing_B,,agency
ACC1421,07/15/2025,LinkedIn,Campaign_B,,AGENCY
ACC1422,2025/08/01,,Campaign_A,,normal
ACC1423,2025-08-16,,Campaign_A,floor,AGENCY
ACC1424,2025/08/01,LinkedIn,Campaign_A,,agency
ACC1425,2025/08/01,Organic,Campaign_C,good,AGENCY
ACC1426,2025-07-30,Google Ads,Campaing_B,show,normal
ACC1427,07/15/2025,Googel Ads,Campaign_C,nation,AGENCY
ACC1428,2025-08-13,Google Ads,Campaign_A,,agency
ACC1429,2025/08/01,Googel Ads,Campaign_C,,Normal
ACC1430,2025-08-12,Referral,Campaing_B,,agency
ACC1431,2025-08-30,Referral,Campaign_A,,normal
ACC1432,07/15/2025,Organic,Campaing_B,trouble,normal
ACC1433,2025-08-03,Organic,Campaing_B,,Normal
ACC1434,2025-07-22,Googel Ads,Campaign_A,food,agency
ACC1435,2025/08/01,Googel Ads,Campaing_B,,normal
ACC1436,2025/08/01,Referral,Campaign_A,involve,Normal
ACC1437,2025-06-02,Googel Ads,Campaign_B,,AGENCY
ACC1438,07/15/2025,LinkedIn,Campaign_B,,AGENCY
ACC1439,2025/08/01,Referral,Campaing_B,,agency
ACC1440,2025/08/01,,Campaign_A,,Normal
ACC1441,07/15/2025,LinkedIn,Campaign_A,,AGENCY
ACC1442,07/15/2025,Google Ads,Campaign_C,,AGENCY
ACC1443,2025/08/01,Organic,Campaing_B,act,AGENCY
ACC1444,2025/08/01,Referral,Campaign_B,,normal
ACC1445,2025-06-08,Organic,Campaign_B,,AGENCY
ACC1446,2025-06-29,Google Ads,Campaign_A,,AGENCY
ACC1447,07/15/2025,Google Ads,Campaign_B,especially,agency
ACC1448,2025/08/01,Googel Ads,Campaing_B,easy,normal
ACC1449,2025/08/01,Google Ads,Campaign_C,,normal
ACC1450,07/15/2025,Google Ads,Campaign_B,,agency
ACC1451,2025-08-02,LinkedIn,Campaign_C,,Normal
ACC1452,2025-07-15,LinkedIn,Campaing_B,,AGENCY
ACC1453,2025-06-28,Referral,Campaign_C,tree,AGENCY
ACC1454,2025-07-25,Organic,Campaign_A,bring,Normal
