account_id,signup_date,utm_source,utm_campaign,ref,account_type,month_year,status,renewal_count,conversion_flag,billing_cycle_end_date,trial_end_date,cancel_reason,status_new
ACC1054,2025-08-01,Referral,Campaign_A,,Normal,2025-08,Canceled,-1.0,no,2025-06-24,2025-06-24,,dropped after trial
ACC1055,2025-08-24,LinkedIn,Campaign_C,debate,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1056,2025-08-07,Referral,Campaign_C,,Agency,2025-08,Active,-1.0,yes,2025-07-29,2025-06-29,,Active
ACC1057,2025-08-05,Unknown,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1058,2025-06-23,Google Ads,Campaign_B,,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1059,2025-06-01,Unknown,Campaign_C,challenge,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1060,2025-07-15,Google Ads,Campaign_A,me,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1061,2025-08-01,LinkedIn,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1062,2025-07-10,Referral,Campaign_C,worker,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1063,2025-06-20,Unknown,Campaign_A,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1064,2025-08-01,LinkedIn,Campaign_B,become,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1065,2025-08-20,LinkedIn,Campaign_C,,Agency,2025-08,Active,,yes,2025-07-08,2025-08-30,,Active
ACC1066,2025-08-01,Google Ads,Campaign_B,total,Agency,2025-08,Active,0.0,no,2025-07-02,2025-06-24,competitor,Active
ACC1067,2025-07-15,Referral,Campaign_C,seat,Agency,2025-07,Canceled,1.0,yes,2025-06-06,2025-08-06,,churned
ACC1068,2025-06-03,Organic,Campaign_C,,Normal,2025-06,Canceled,-1.0,no,2025-08-05,2025-06-15,churned,dropped after trial
ACC1069,2025-07-15,Referral,Campaign_B,,Normal,2025-07,Canceled,,yes,2025-07-17,2025-07-16,churned,churned
ACC1070,2025-08-25,Referral,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1071,2025-08-01,Organic,Campaign_C,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1072,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1073,2025-08-01,Organic,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1074,2025-07-04,Unknown,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1075,2025-07-31,Unknown,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1076,2025-07-15,Organic,Campaign_C,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1077,2025-08-01,Organic,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1078,2025-07-07,Referral,Campaign_C,her,Agency,2025-07,Canceled,0.0,yes,2025-06-23,2025-07-24,competitor,churned
ACC1079,2025-08-01,Unknown,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1080,2025-07-11,Google Ads,Campaign_B,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1081,2025-07-15,Google Ads,Campaign_C,stop,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1082,2025-08-01,LinkedIn,Campaign_B,piece,Normal,2025-08,Canceled,1.0,yes,2025-06-05,2025-06-03,,churned
ACC1083,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1084,2025-08-01,LinkedIn,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1085,2025-08-01,Unknown,Campaign_A,her,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1086,2025-08-01,Google Ads,Campaign_B,particular,Agency,2025-08,Canceled,,yes,2025-06-02,2025-06-26,,churned
ACC1087,2025-08-23,Organic,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1088,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Canceled,1.0,yes,2025-08-27,2025-08-01,price,churned
ACC1089,2025-08-01,Organic,Campaign_B,,Agency,2025-08,Active,-1.0,no,2025-08-13,2025-07-08,price,Active
ACC1090,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Active,-1.0,yes,2025-06-23,2025-08-25,,Active
ACC1091,2025-06-25,Unknown,Campaign_C,relate,Normal,2025-06,Active,,yes,2025-06-18,2025-06-21,price,Active
ACC1092,2025-08-01,Google Ads,Campaign_B,training,Agency,2025-08,Canceled,0.0,yes,2025-08-16,2025-06-22,,churned
ACC1093,2025-07-05,Unknown,Campaign_B,miss,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1094,2025-08-01,Organic,Campaign_B,true,Agency,2025-08,Active,,yes,2025-07-20,2025-07-03,price,Active
ACC1095,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1096,2025-07-15,Referral,Campaign_B,,Agency,2025-07,Trialing,,no,2025-08-04,2025-08-13,price,Trialing
ACC1097,2025-07-15,Organic,Campaign_B,science,Agency,2025-07,Active,1.0,yes,2025-07-07,2025-06-15,price,Active
ACC1098,2025-08-01,Organic,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1099,2025-08-01,Google Ads,Campaign_B,,Normal,2025-08,Trialing,-1.0,yes,2025-06-24,2025-06-13,competitor,Trialing
ACC1100,2025-07-15,LinkedIn,Campaign_B,benefit,Normal,2025-07,Active,,yes,2025-07-08,2025-06-08,competitor,Active
ACC1101,2025-07-15,LinkedIn,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1102,2025-07-15,Referral,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1103,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1104,2025-08-01,Google Ads,Campaign_A,point,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1105,2025-08-01,LinkedIn,Campaign_B,eat,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1106,2025-08-01,LinkedIn,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1107,2025-08-09,Google Ads,Campaign_A,him,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1108,2025-06-10,Referral,Campaign_B,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1109,2025-08-01,Unknown,Campaign_B,law,Normal,2025-08,Trialing,1.0,no,2025-08-14,2025-07-24,competitor,Trialing
ACC1110,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1111,2025-07-31,Google Ads,Campaign_C,customer,Agency,2025-07,Active,1.0,yes,2025-08-19,2025-08-03,competitor,Active
ACC1112,2025-08-14,Organic,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1113,2025-07-15,LinkedIn,Campaign_C,,Agency,2025-07,Active,,no,2025-07-01,2025-07-29,churned,Active
ACC1114,2025-08-01,Google Ads,Campaign_C,,Agency,2025-08,Active,,no,2025-07-22,2025-07-09,,Active
ACC1115,2025-08-15,Referral,Campaign_B,time,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1116,2025-08-01,Organic,Campaign_C,fish,Agency,2025-08,Trialing,2.0,yes,2025-08-26,2025-07-29,,Trialing
ACC1117,2025-08-17,Organic,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1118,2025-08-01,Unknown,Campaign_C,,Normal,2025-08,Canceled,0.0,yes,2025-06-24,2025-07-08,competitor,churned
ACC1119,2025-07-18,Google Ads,Campaign_B,,Agency,2025-07,Canceled,,yes,2025-08-07,2025-06-29,churned,churned
ACC1120,2025-07-15,Unknown,Campaign_B,,Agency,2025-07,Canceled,,yes,2025-07-09,2025-07-23,competitor,churned
ACC1121,2025-07-11,Google Ads,Campaign_C,box,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1122,2025-07-15,Unknown,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1123,2025-08-01,Google Ads,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1124,2025-07-15,LinkedIn,Campaign_A,,Agency,2025-07,Active,0.0,yes,2025-08-28,2025-08-10,churned,Active
ACC1125,2025-08-01,Google Ads,Campaign_B,yeah,Agency,2025-08,Canceled,2.0,no,2025-08-13,2025-08-06,churned,dropped after trial
ACC1126,2025-07-15,Unknown,Campaign_C,sport,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1127,2025-07-15,LinkedIn,Campaign_C,treatment,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1128,2025-06-25,Google Ads,Campaign_C,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1129,2025-07-15,Google Ads,Campaign_A,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1130,2025-07-15,Referral,Campaign_B,fund,Normal,2025-07,Active,1.0,no,2025-08-05,2025-06-30,price,Active
ACC1131,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1132,2025-08-01,Unknown,Campaign_A,prevent,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1133,2025-07-15,Google Ads,Campaign_B,fine,Agency,2025-07,Canceled,-1.0,yes,2025-08-24,2025-06-23,churned,churned
ACC1134,2025-08-01,LinkedIn,Campaign_B,,Agency,2025-08,Active,2.0,no,2025-06-24,2025-08-09,churned,Active
ACC1135,2025-08-01,Organic,Campaign_C,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1136,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1137,2025-06-25,LinkedIn,Campaign_B,agree,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1138,2025-07-15,Organic,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1139,2025-08-01,Referral,Campaign_B,leg,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1140,2025-08-01,Google Ads,Campaign_B,,Normal,2025-08,Active,,no,2025-07-16,2025-06-08,competitor,Active
ACC1141,2025-08-01,LinkedIn,Campaign_C,once,Normal,2025-08,Canceled,-1.0,yes,2025-08-07,2025-08-08,competitor,churned
ACC1142,2025-07-15,Google Ads,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1143,2025-07-15,Unknown,Campaign_B,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1144,2025-08-01,Google Ads,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1145,2025-07-25,Google Ads,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1146,2025-08-01,Referral,Campaign_A,determine,Agency,2025-08,Active,1.0,no,2025-06-28,2025-07-10,,Active
ACC1147,2025-07-15,Referral,Campaign_B,,Agency,2025-07,Active,2.0,yes,2025-08-28,2025-06-13,price,Active
ACC1148,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Active,-1.0,no,2025-06-09,2025-07-05,churned,Active
ACC1149,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1150,2025-07-15,Unknown,Campaign_B,,Normal,2025-07,Canceled,,no,2025-07-15,2025-06-01,,dropped after trial
ACC1151,2025-07-15,Referral,Campaign_C,talk,Agency,2025-07,Canceled,,no,2025-07-04,2025-07-30,churned,dropped after trial
ACC1152,2025-08-18,Unknown,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1153,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1154,2025-08-09,Referral,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1155,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1156,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Active,2.0,yes,2025-06-03,2025-07-06,competitor,Active
ACC1157,2025-06-09,Organic,Campaign_A,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1158,2025-08-01,Referral,Campaign_C,,Agency,2025-08,Canceled,,yes,2025-06-19,2025-08-26,churned,churned
ACC1159,2025-08-29,Organic,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1160,2025-08-01,Unknown,Campaign_B,leg,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1161,2025-07-15,Referral,Campaign_C,face,Normal,2025-07,Active,0.0,yes,2025-07-19,2025-08-08,churned,Active
ACC1162,2025-08-01,Google Ads,Campaign_B,upon,Agency,2025-08,Active,,no,2025-06-10,2025-08-06,churned,Active
ACC1163,2025-07-15,Referral,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1164,2025-08-01,LinkedIn,Campaign_B,generation,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1165,2025-08-01,Organic,Campaign_B,,Agency,2025-08,Canceled,0.0,no,2025-07-10,2025-08-02,price,dropped after trial
ACC1166,2025-07-16,LinkedIn,Campaign_C,voice,Agency,2025-07,Active,0.0,no,2025-08-02,2025-07-14,competitor,Active
ACC1167,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Active,2.0,no,2025-07-17,2025-08-20,price,Active
ACC1168,2025-07-15,Referral,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1169,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Trialing,0.0,yes,2025-06-07,2025-07-20,,Trialing
ACC1170,2025-08-19,Google Ads,Campaign_A,when,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1171,2025-08-01,Google Ads,Campaign_B,herself,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1172,2025-08-01,Referral,Campaign_A,beautiful,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1173,2025-07-15,Referral,Campaign_C,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1174,2025-07-15,Google Ads,Campaign_B,capital,Agency,2025-07,Active,2.0,yes,2025-06-15,2025-07-28,,Active
ACC1175,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Active,,no,2025-07-19,2025-07-11,competitor,Active
ACC1176,2025-08-01,Referral,Campaign_B,,Normal,2025-08,Active,0.0,no,2025-06-10,2025-07-31,competitor,Active
ACC1177,2025-07-15,Referral,Campaign_B,room,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1178,2025-08-01,Referral,Campaign_B,,Normal,2025-08,Canceled,1.0,yes,2025-06-22,2025-07-21,price,churned
ACC1179,2025-07-15,LinkedIn,Campaign_B,,Normal,2025-07,Canceled,2.0,no,2025-06-28,2025-06-14,price,dropped after trial
ACC1180,2025-08-01,Referral,Campaign_C,,Normal,2025-08,Canceled,,no,2025-06-14,2025-08-23,competitor,dropped after trial
ACC1181,2025-08-01,Organic,Campaign_C,agent,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1182,2025-08-01,Organic,Campaign_C,arm,Normal,2025-08,Canceled,,no,2025-07-27,2025-06-11,competitor,dropped after trial
ACC1183,2025-06-20,Google Ads,Campaign_C,,Agency,2025-06,Active,0.0,no,2025-06-22,2025-06-21,competitor,Active
ACC1184,2025-08-01,Unknown,Campaign_A,,Agency,2025-08,Canceled,0.0,no,2025-06-04,2025-06-25,churned,dropped after trial
ACC1185,2025-07-15,Unknown,Campaign_B,owner,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1186,2025-07-15,LinkedIn,Campaign_B,score,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1187,2025-07-15,LinkedIn,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1188,2025-07-15,Google Ads,Campaign_B,know,Agency,2025-07,Trialing,1.0,no,2025-08-25,2025-07-10,churned,Trialing
ACC1189,2025-08-08,Unknown,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1190,2025-07-15,Google Ads,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1191,2025-08-01,Unknown,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1192,2025-07-15,Google Ads,Campaign_B,,Normal,2025-07,Active,,yes,2025-08-28,2025-06-16,competitor,Active
ACC1193,2025-08-01,Referral,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1194,2025-07-15,Unknown,Campaign_C,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1195,2025-06-11,Google Ads,Campaign_C,,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1196,2025-08-01,LinkedIn,Campaign_B,,Normal,2025-08,Trialing,,no,2025-08-20,2025-07-02,price,Trialing
ACC1197,2025-08-01,Unknown,Campaign_B,,Agency,2025-08,Canceled,2.0,yes,2025-06-03,2025-06-03,,churned
ACC1198,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Active,1.0,no,2025-08-08,2025-07-05,competitor,Active
ACC1199,2025-07-15,Google Ads,Campaign_C,blood,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1200,2025-07-11,Referral,Campaign_A,,Normal,2025-07,Canceled,,yes,2025-06-14,2025-07-07,price,churned
ACC1201,2025-08-01,Referral,Campaign_A,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1202,2025-06-18,Organic,Campaign_A,,Agency,2025-06,Trialing,0.0,no,2025-08-14,2025-08-21,churned,Trialing
ACC1203,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Canceled,2.0,no,2025-08-09,2025-07-25,competitor,dropped after trial
ACC1204,2025-08-01,LinkedIn,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1205,2025-07-24,Referral,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1206,2025-06-26,LinkedIn,Campaign_C,Mrs,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1207,2025-07-31,LinkedIn,Campaign_A,,Agency,2025-07,Active,-1.0,no,2025-08-05,2025-06-22,,Active
ACC1208,2025-07-24,LinkedIn,Campaign_C,clear,Agency,2025-07,Active,2.0,yes,2025-06-24,2025-06-04,price,Active
ACC1209,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Canceled,-1.0,yes,2025-08-26,2025-06-24,competitor,churned
ACC1210,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1211,2025-08-26,Unknown,Campaign_C,,Normal,2025-08,Canceled,,no,2025-08-18,2025-06-07,competitor,dropped after trial
ACC1212,2025-07-15,Organic,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1213,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Canceled,0.0,yes,2025-08-12,2025-08-24,,churned
ACC1214,2025-07-15,Google Ads,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1215,2025-08-01,Organic,Campaign_A,,Normal,2025-08,Trialing,,yes,2025-06-04,2025-06-02,churned,Trialing
ACC1216,2025-08-01,Google Ads,Campaign_B,,Agency,2025-08,Active,-1.0,no,2025-07-29,2025-06-18,,Active
ACC1217,2025-07-15,Referral,Campaign_B,,Agency,2025-07,Active,-1.0,yes,2025-06-30,2025-06-18,,Active
ACC1218,2025-07-15,Organic,Campaign_C,,Normal,2025-07,Canceled,-1.0,no,2025-06-22,2025-06-15,,dropped after trial
ACC1219,2025-07-05,Unknown,Campaign_B,common,Normal,2025-07,Active,2.0,no,2025-06-22,2025-07-29,,Active
ACC1220,2025-08-15,Organic,Campaign_A,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1221,2025-08-01,Google Ads,Campaign_C,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1222,2025-08-01,Organic,Campaign_A,,Normal,2025-08,Active,0.0,no,2025-08-12,2025-07-13,churned,Active
ACC1223,2025-08-01,Google Ads,Campaign_B,specific,Agency,2025-08,Canceled,,no,2025-08-13,2025-08-27,churned,dropped after trial
ACC1224,2025-06-21,Referral,Campaign_C,animal,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1225,2025-07-15,Google Ads,Campaign_A,,Normal,2025-07,Canceled,1.0,no,2025-08-18,2025-08-18,price,dropped after trial
ACC1226,2025-07-15,Unknown,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1227,2025-06-01,Google Ads,Campaign_B,respond,Agency,2025-06,Active,1.0,no,2025-06-10,2025-07-14,churned,Active
ACC1228,2025-08-07,Google Ads,Campaign_B,,Agency,2025-08,Active,2.0,no,2025-07-30,2025-07-22,churned,Active
ACC1229,2025-07-12,Referral,Campaign_C,,Normal,2025-07,Canceled,,no,2025-07-20,2025-07-29,competitor,dropped after trial
